CM_ARTIST,ARTIST_NAME,COUNTRY_NAME,CHARTMETRIC_SCORE,TIMESTP,RANK_25_75
3986,Lana Del Rey,United States,0.306042887416,2023-06-17,35
4355840,Ice Spice,United States,0.305244628456,2023-03-13,285
1802,Daddy Yankee,Puerto Rico,0.30004452459,2023-08-08,45
205962,Kodak Black,United States,0.296889417011,2023-06-15,148
3544,Ellie Goulding,United Kingdom,0.294878048958,2023-04-04,94
224838,Rauw Alejandro,Puerto Rico,0.292548034926,2023-04-19,47
2482,Katy Perry,United States,0.288515102626,2023-05-10,37
5730,21 Savage,United States,0.28665128111,2023-01-26,43
152627,Jack Harlow,United States,0.285755774557,2023-12-12,29
550577,Tate McRae,Canada,0.284888127643,2023-12-13,28
3883,J Balvin,Colombia,0.282568423802,2023-12-11,33
27,Madonna,United States,0.279646342238,2023-06-23,87
4913,Meghan Trainor,United States,0.278630209552,2023-02-07,114
303406,Arijit Singh,India,0.277270410201,2023-10-13,39
558681,Harry Styles,United Kingdom,0.276824903997,2023-01-09,69
50780,Metro Boomin,United States,0.273800793005,2023-06-19,121
102,The Beatles,United Kingdom,0.272813072977,2023-11-16,93
200408,Cardi B,United States,0.270372282273,2023-09-15,65
152776,Feid,Colombia,0.270310898338,2023-05-21,78
158474,Anuel AA,Puerto Rico,0.270209754669,2023-07-14,61
3336203,Kenya Grace,United Kingdom,0.269004008581,2023-10-22,267
1450,Justin Timberlake,United States,0.267628303682,2023-09-24,59
3530,J. Cole,United States,0.266616738112,2023-06-02,60
178,Michael Jackson,United States,0.263439906536,2023-04-19,55
672,P!nk,United States,0.262167588705,2023-02-21,77
1465,Lil Wayne,United States,0.257380104818,2023-11-26,46
3502,Jason Derulo,United States,0.25401890362,2023-06-15,56
612801,ROSALÍA,Spain,0.249283831355,2023-04-18,86
9966037,FIFTY FIFTY,South Korea,0.248595780245,2023-05-22,768
74419,XXXTENTACION,United States,0.24550420117,2023-06-01,85
4241112,PinkPantheress,United Kingdom,0.244385075748,2023-03-15,546
4449,Lil Durk,United States,0.240554787511,2023-06-17,163
267405,Alka Yagnik,India,0.239975889744,2023-07-11,63
4429,Bebe Rexha,United States,0.238393503655,2023-02-20,105
3184,Tyga,United States,0.236806408296,2023-02-08,127
852306,Stray Kids,South Korea,0.235376727482,2023-06-05,169
4934,Shawn Mendes,Canada,0.232697075995,2023-11-29,58
10368856,JISOO,South Korea,0.232210896589,2023-04-29,803
736719,Dina,Russian Federation,0.231349427841,2023-09-22,804
1414812,TOMORROW X TOGETHER,South Korea,0.230407216229,2023-02-08,602
731530,Lil Baby,United States,0.230382182868,2023-02-21,89
60,Snoop Dogg,United States,0.22938051725,2023-01-21,75
3747,One Direction,United Kingdom,0.228893329086,2023-07-16,62
4608891,Domelipa,Mexico,0.228812859661,2023-09-30,395
10674114,Polo G,United States,0.228775165293,2023-10-20,362
1207,Sean Paul,Jamaica,0.228473784066,2023-05-19,101
212614,Burna Boy,Nigeria,0.228068384778,2023-10-11,259
3630481,Flighthouse,United States,0.227957327586,2023-08-26,700
87,Elton John,United Kingdom,0.226000579782,2023-01-05,66
757,USHER,United States,0.225899773319,2023-12-11,57
403699,Central Cee,United Kingdom,0.225829604915,2023-07-31,130
188290,Mitski,United States,0.225358376437,2023-11-01,83
