NAME,ID,GENRE_NAME,VALUE
top_genres_for_tracks_released_in_2023,G2.6,Electronic,364618.0
top_genres_for_artists_created_in_2023,G2.2,Rock,19089.0
top_genres_for_tracks_all_time,G2.5,Dance,5661581.0
top_genres_for_tracks_released_in_2023,G2.6,Bluegrass,447.0
top_genres_for_artists_all_time,G2.1,Singer/Songwriter,239643.0
top_genres_for_tracks_released_in_2022,G2.7,Dancehall,10129.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Hip-Hop/Rap,1015.0
top_genres_for_tracks_released_in_2022,G2.7,African,86691.0
top_genres_for_tracks_released_in_2023,G2.6,Trap,130.0
top_genres_for_tracks_released_in_2022,G2.7,Holiday,23008.0
top_genres_for_artists_created_in_2023,G2.2,Gospel,785.0
top_genres_for_tracks_all_time,G2.5,Techno,652160.0
top_genres_for_tracks_released_in_2022,G2.7,Dirty South,583.0
top_genres_for_tracks_released_in_2022,G2.7,African Children's Music,62.0
top_genres_for_tracks_all_time,G2.5,Punk,507742.0
top_genres_for_tracks_released_in_2023,G2.6,Neo-Soul,1067.0
top_genres_for_artists_created_in_2023,G2.2,Latin Classical,8.0
top_genres_for_artists_all_time,G2.1,Hip-Hop/Rap,1607312.0
top_genres_for_artists_all_time,G2.1,Metal,104379.0
top_genres_for_artists_all_time,G2.1,Country,91435.0
top_genres_for_tracks_released_in_2022,G2.7,Indian,52207.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Jazz,99.70451
top_genres_for_tracks_released_in_2023,G2.6,Indie Pop,15794.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Electronic,84.164515
top_genres_for_tracks_released_in_2022,G2.7,African Folk,8.0
top_genres_for_tracks_released_in_2022,G2.7,Funk,9637.0
top_genres_for_tracks_released_in_2023,G2.6,Devotional & Spiritual,13627.0
top_genres_for_tracks_released_in_2022,G2.7,Hip-Hop/Rap,1138775.0
top_genres_for_tracks_released_in_2023,G2.6,Worldbeat,1361.0
top_genres_for_artists_created_in_2023,G2.2,Indian Rock,16.0
top_genres_for_artists_all_time,G2.1,Children's Music,49838.0
top_genres_for_tracks_all_time,G2.5,New Age,1717521.0
top_genres_for_artists_created_in_2023,G2.2,Pop,39866.0
top_genres_for_tracks_all_time,G2.5,Trance,389299.0
top_genres_for_artists_created_in_2023,G2.2,Grunge,43.0
top_genres_for_artists_created_in_2023,G2.2,Singer/Songwriter,9347.0
top_genres_for_artists_created_in_2023,G2.2,Opera,256.0
top_genres_for_tracks_released_in_2023,G2.6,Polka,42.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Alternative,102.078228
top_genres_for_artists_created_in_2023,G2.2,Country,3919.0
top_genres_for_artists_all_time,G2.1,Punk,40156.0
top_genres_for_artists_created_in_2023,G2.2,Merengue,5.0
top_genres_for_artists_created_in_2023,G2.2,African Pop,56.0
top_genres_for_tracks_released_in_2023,G2.6,Smooth Jazz,3179.0
top_genres_for_tracks_released_in_2023,G2.6,Swing,239.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Hip-Hop/Rap,31652.0
top_genres_for_tracks_released_in_2023,G2.6,African Classical,36.0
top_genres_for_tracks_released_in_2023,G2.6,Soundtracks,58876.0
top_genres_for_tracks_released_in_2023,G2.6,Classical,69281.0
top_genres_for_tracks_released_in_2022,G2.7,Gospel,11854.0
top_genres_for_tracks_released_in_2022,G2.7,New Age,170232.0
top_genres_for_artists_created_in_2023,G2.2,Choral,116.0
top_genres_for_tracks_all_time,G2.5,Classical,4302093.0
top_genres_for_artists_created_in_2023,G2.2,Indian Dance,46.0
top_genres_for_tracks_released_in_2023,G2.6,Dirty South,543.0
top_genres_for_tracks_released_in_2023,G2.6,Celtic,457.0
top_genres_for_artists_created_in_2023,G2.2,Spoken Word,139.0
top_genres_for_tracks_released_in_2023,G2.6,House,116907.0
