CM_ARTIST,ARTIST_NAME,COUNTRY_NAME,CHARTMETRIC_SCORE,TIMESTP,RANK_25_75
60,Snoop Dogg,United States,0.22938051725,2023-01-21,87
3747,One Direction,United Kingdom,0.228893329086,2023-07-16,65
10674114,Polo G,United States,0.228775165293,2023-10-20,361
1207,Sean Paul,Jamaica,0.228473784066,2023-05-19,119
212614,Burna Boy,Nigeria,0.228068384778,2023-10-11,216
87,Elton John,United Kingdom,0.226000579782,2023-01-05,60
757,USHER,United States,0.225899773319,2023-12-11,59
403699,Central Cee,United Kingdom,0.225829604915,2023-07-31,102
188290,Mitski,United States,0.225358376437,2023-11-01,251
454302,Camila Cabello,Cuba,0.22528213265,2023-01-05,83
72,Queen,United Kingdom,0.225068222942,2023-06-22,57
